page,content_type,content
1,text,SRKI
2,text,SRKI
3,text,SRKI
4,text,SRKI
5,text,SRKI
6,text,SRKI
7,text,SRKI
8,text,SRKI
9,text,SRKI
10,text,SRKI
11,text,SRKI
12,text,SRKI
1,table,"Unnamed: 0        Unnamed: 1 Continuous Comprehensive    Semester Unnamed: 2
       NaN               NaN               Evaluation         End      Grand
  Semester     Subject group                      NaN         NaN        NaN
       NaN               NaN                    Total Examination      Total
       NaN               NaN       CE Attend. Assign.         NaN        NaN
       NaN               NaN                      CEE       (SEE)        NaN
       NaN             Major              30 10 10 50          50        100
       NaN             Major              30 10 10 50          50        100
       NaN             Major              30 10 10 50          50        100
       NaN               SEC              15 05 05 25          25         50
         3 Multidisciplinary              10 10 30 50          50        100
       NaN           Ability                      NaN         NaN        NaN
       NaN       Enhancement              15 05 05 25          25         50
       NaN            Course                      NaN         NaN        NaN
       NaN       Value Added                      NaN         NaN        NaN
       NaN               NaN              15 05 05 25          25         50
       NaN            Course                      NaN         NaN        NaN
       NaN               NaN                Total 275         275        550
       NaN             Major              30 10 10 50          50        100
       NaN             Major              30 10 10 50          50        100
       NaN             Major              30 10 10 50          50        100
       NaN             Minor              30 10 10 50          50        100
         4               SEC              15 05 05 25          25         50
       NaN           Ability                      NaN         NaN        NaN
       NaN       Enhancement              15 05 05 25          25         50
       NaN            Course                      NaN         NaN        NaN
       NaN       Value Added                      NaN         NaN        NaN
       NaN               NaN              15 05 05 25          25         50
       NaN            Course                      NaN         NaN        NaN
       NaN             Total                      275         275        550"
