section,subsection,content
Course Title,,"Thiscourseisenhancethefundamentalsofcomputer,office"
Objectives,,Introducethefundamentalsofcomputingdevicesandreinforcecomputer
Unit,Unit 1,IntroductionofComputers (Duration:06Hrs)
Unit,Unit 2,OperatetheComputerSystem (Duration:04Hrs)
Unit,Unit 3,DocumentWriter (Duration:10Hrs)
Unit,Unit 4,WPSPresentation (Duration:10Hrs)
Unit,Unit 5,WPSSpreadsheet (Duration:10Hrs)
Unit,Unit 6,DatabaseManagementSystem (Duration:04Hrs)
Unit,Unit 7,PracticalapproachforDatabase (Duration:10Hrs)
Unit,Unit 8,AwarenessofInternet (Duration:06Hrs)
