section,subsection,content
Course Title,,Page 4: E.EvaluationScheme
Objectives,,CEligibility
Unit,Unit 1,IntroductiontoIndustrialMicrobiology (Duration:07Hrs)
Unit,Unit 2,MediaandSterilization. (Duration:07Hrs)
Unit,Unit 3,Strainimprovement. (Duration:08Hrs)
Unit,Unit 4,FermenterDesign. (Duration:10Hrs)
Unit,Unit 5,IndustrialProductionofAminoacidsandOrganicacids(Duration:07Hrs)
Unit,Unit 6,IndustrialProductionofEnzymesandHealthCareProducts(Duration:08
Unit,Unit 7,IndustrialSolventandAlcoholicBeverages (Duration:05Hrs)
Unit,Unit 8,FermentedProductofIndustrialImportance (Duration:08Hrs)
Assessment,,---- ---- 50 30
References,,"1.StandardMethodsforExaminationofWater&Wastewater,AndrewD.Eaton,"
