section,subsection,content
Course Title,,students will be able to:
Description,,This course presents concise and relevant information on the composition of foods and the reactions
Learning Outcomes,,"At the end of the course students will be able to:  
• Explain the importance of water for stability and quality of foods.  
• Understand the relationship between nutrition and human well being  
• Know the major and minor components of foods  
• Know composition and pro perties of food  
• Explain the basic structures of food constituents  
• Understand the basic chemical reaction food constituents undergo during processing  
• Identify additives added to foods for different purposes"
Unit,Unit 1,Water in Food                                                                                                   (06 Hrs)
Unit,Unit 2,Carbohydrates                                                                                                  (10 Hrs)
Unit,Unit 3,Lip ids                                                                                                                 (08 Hrs)
Unit,Unit 4,Proteins                                                                                                               (08 Hrs)
Unit,Unit 5,Minerals                                                                                                             (04 Hrs)
Unit,Unit 6,Vitamin                                                                                                               (06 Hrs)
Unit,Unit 7,Food additives                                                                                                   (08 Hrs)
Unit,Unit 8,Food Analysis                                                                                                   (10 Hrs)
References,,"s: 
1. Standard Methods for Examination of Water & Wastewater , Andrew D. Eaton,"
