section,subsection,content
Course Title,,students will be able to  learn ...
Description,,"This course paper intends to deal about the  Forensic  Toxicology , the branch"
Learning Outcomes,,"At the end of the course students will be able to  learn ... 
• Forensic chemistry and its scope,  
• Examination of petroleum products, fires, explosives,  
• Types of forensic toxicology, analysis, extraction, isolation and clean up procedures,  
• Forensic examinati on of metallic poison and various organic -toxic compounds."
Unit,Unit 1,Forensic Chemistry and its Scope       (16 hrs)
Unit,Unit 2,Examination of Petroleum Products       (14 hrs)
Unit,Unit 3,Fires            (13 hrs)
Unit,Unit 4,Explosives           (14 hrs)
Unit,Unit 5,Forensic Toxicology         (14 hrs)
Unit,Unit 6,"Extraction, Isolation and Clean -up procedures      (15 hrs)"
Unit,Unit 7,General Study and Analysis        (13 hrs)
Unit,Unit 8,Forensic Examination of Metallic Poisons       (14 hrs)
References,,"s: 
1. Standard Methods for Examination of Water & Wastewater , Andrew D. Eaton,"
