page,content_type,content
1,text,SARVAJANIK UNIVERSITY
2,text,SARVAJANIK UNIVERSITY
3,text,SARVAJANIK UNIVERSITY
4,text,SARVAJANIK UNIVERSITY
5,text,SARVAJANIK UNIVERSITY
6,text,SARVAJANIK UNIVERSITY
7,text,SARVAJANIK UNIVERSITY
8,text,SARVAJANIK UNIVERSITY
9,text,SARVAJANIK UNIVERSITY
10,text,SARVAJANIK UNIVERSITY
11,text,SARVAJANIK UNIVERSITY
12,text,SARVAJANIK UNIVERSITY
1,table,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Program: M.Sc. Organic Chemistry             Type: Theory
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Semester: III                      NaN
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Subject: DSC-V: Organic Spectroscopy                      NaN
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Credit: 04(T) + 02 (P) Total learning hours: 60
                                                                                                                                                                                                                                                                                                                                                                                                     Course description:\rThe syllabus deals with theory, principal & instrumentation of various spectroscopic techniques.  This course\ris intended to give students a more complete picture of how spectroscopic methods are used to\relucidate the structure of complex organic molecules.                      NaN
Student learning outcome:\rAt the end of the course......\r•\rStudents will be skilled in the interpreting NMR spectroscopy, Mass spectroscopy to derive the\rinformation regarding the structure, stereochemistry of the molecules\r•\rStudents will apply the learned fundamental instrumental techniques in the physical characterization\rof organic molecules\r•\rStudents will have a clear understanding of the subject related concepts\r•\rStudents will get problem solving abilityand identify organic compounds by analysis and\rinterpretation of spectral data\r•\rStudent will be able to solve structural problems based on UV-Vis, IR, 1HNMR, 13CNMR and mass\rspectral data                      NaN"
2,table,"         Principles of NMR Spectroscopy, David Goldenberg, 4th Edition, 2016, University
                                                                          Science Books.
      7. Introduction to Spectroscopy, Donald L. Pavia, Gary M. Lampman, George S. Kriz,
                                              James A. Vyvyan, 4th Edition, Brooks Cole.
   8. Spectroscopic Methods in Organic Chemistry, D.H Williams, I. Fleming, 6th Edition,
                                                            Tata Mc Graw Hill Education.
      9.Spectroscopy of Organic Compounds, P S Kalsi, 6th Edition, New Age International
                                                                              Publisher.
10. Organic Spectroscopy: Principles and Applications, Jag Mohan, 2nd Edition, Published
                                                     by Alpha Science International Ltd.
            11. Organic Spectroscopy (NMR, IR, Mass and UV),Dewan S.K., 1st Edition, CBS
                                                       Publisher & Distributors Pvt Ltd.
                   12. Basic Principles of Spectroscopy, Raymond Chang, McGraw-Hill Inc.
           13. Elementary Organic Spectroscopy, Y R Sharma, S. Chand & Company Pvt. Ltd.
                             14. Organic Spectroscopy, William Kemp, Palgrave Macmillan.
           15. Spectrometric Identification of Organic Compounds, Robert M. Silverstein,"
3,table,"                                                                                                                                                                                                                                                                                                                                                  Program: M.Sc. Organic Chemistry             Type: Theory
                                                                                                                                                                                                                                                                                                                                                                     Semester: III                      NaN
                                                                                                                                                                                                                                                                                                                                      Subject: DSC-VI- Designing Organic Synthesis                      NaN
                                                                                                                                                                                                                                                                                                                                                            Credit: 04(T) + 02 (P) Total learning hours: 60
                                                                                                                Course description:\rThe course will cover different concepts regarding retrosynthetic analysis and synthetic planning,\rdesigning organic synthesis, principles and applications of asymmetric synthesis, general treatment\rof reaction mechanism , tautomerism.                      NaN
Student learning outcome:\rAt the end of the course......students will learn about\r•\rSynthetic planning and designing in various organic synthesis.\r•\rTo understand the methodology, basics and applications of electro-organic chemistry.\r•\rTo study applications of organometallic compounds in organic synthesis.\r•\rTo obtain knowledge regarding assymetric synthesis.                      NaN"
5,table,"8.5Rate constant and free energy of activation; free energy profiles for one-step, two-step
                                                                 and three- step reactions;
                          8.6Catalysed reactions: electrophilic and nucleophilic catalysis;
                                 8.7Kinetic control and thermodynamic control of reactions;
                8.8Isotope effect: primary and β-secondary kinetic isotopic effect (kH /kD)
                          8.9   Principle of microscopic reversibility; Hammond’s postulate
                                                                                References:
         1. Advanced Organic Chemistry Part A and Part B: Reaction and Synthesis, Francis A
                                   Carey, Richard J Sundberg, 5th Edition, Springer Verlag.
      2. Modern methods of Organic Synthesis, Synthesis 4th Edition,2004, W. Carruthers and
                                                  Iain Coldham, Cambridge University Press.
            3. Modern Organic Synthesis: An Introduction, G.S. Zweifel and M.H.Nantz , W.H.
                                                                            Freeman , 2007.
       4. Principles of Organic Synthesis, R.O.C. Norman & J. M. Coxon, 3rd Edition, Nelson
                                                                                   Thornes.
        5. Advanced Organic Chemistry: Reactions & Mechanisms, B. Miller and R. Prasad, 2nd
                                                                          Edition, Pearson.
         6. Organic reactions & their mechanisms, 3rd Revised Edition, P. S. Kalsi, New Age"
6,table,"                                                          Program: M.Sc. Organic Chemistry Type: Theory
                                                                                          Semester: III
                                           Subject:SEC-III-  Analytical Techniques in Applied Chemistry
                                                        Credit: 04(T) + 02 (P) Total learning hours: 60
                                                                                    Course description:
    This course paper deals about sampling and analysis methods to determine various quality parameters
of soil and fertilizer, water-wastewater, industrial solid waste and stack gas, ore and alloy, polymer,
                                              petroleum and fuel, pharmaceutical and clinical analysis.
                                                                                                    NaN
                                                                              Student learning outcome:
                                                        At the end students will be able to learn about
   Sampling techniques, principle, chemical reaction and analysis methods of various quality parameters
                                                                                                     of
                                                                                  • Soil and fertilizer
                                                                                     • Water-wastewater
                                                                 • industrial solid waste and stack gas
                                                                                        • ore and alloy
                                                                                              • polymer
                                                                                   • petroleum and fuel
                                                                                       • pharmaceutical
                                                                                    • Clinical analysis"
