page,content_type,content
1,text,SRKI
2,text,SRKI
3,text,SRKI
4,text,SRKI
5,text,SRKI
6,text,SRKI
7,text,SRKI
8,text,SRKI
9,text,SRKI
10,text,SRKI
11,text,SRKI
12,text,SRKI
13,text,SRKI
14,text,SRKI
15,text,SRKI
16,text,SRKI
17,text,SRKI
18,text,SRKI
19,text,SRKI
20,text,SRKI
21,text,SRKI
22,text,SRKI
23,text,SRKI
24,text,SRKI
25,text,SRKI
26,text,SRKI
1,table,"                         Name of Program Master of Science Advanced Computing              Unnamed: 0
                                                        Abbreviation M.Sc. AC                     NaN
                                                             Duration 2 Years                     NaN
  Objective of Program The objective of the program is to impart knowledge of                     NaN
                                         fundamentals and/or latest theories,      concepts, methods,
                    techniques and tools related to various areas of Advanced                     NaN
                                               Computer Science. Applications         and Information
                     Technology and specifically in the area of Data Science,                     NaN
                      cloud based, Web based Application Development, Machine                     NaN
                             Learning, Deep Learning and Intelligent Systems.                     NaN
Program Outcome At the successful completion of the program, students will be                     NaN
          able to start their career in the field of Artificial Intelligence,                     NaN
                       Data Science and Research Domains of Computer Science.                     NaN
                                                            Program Structure                     NaN
                                                                   Semester 1                     NaN
                                            Course Title Teaching Hrs. Course University Inter. Total
                                                    Code per week Examination             Marks Marks
                                                                      Credits                     NaN
                                                        Theory Practical Hrs.                   Marks
                                             DCS-1 Fundamentals of Data 4 4 4               30 70 100
                                                                      Science                     NaN
                                                 DSC-2 Fundamentals of AI 4 4             4 30 70 100
                                                SEC - 1 Advanced Database 4 4             4 30 70 100
                                                                 Technologies                     NaN
                                                                 Elective 4 4             4 30 70 100
                                                             Practical 8 8 16              140 60 200
                                                                        16 24                     600
        NOTE: Following subjects are listed as elective subjects of semester.                     NaN
                                                            ELECTIVE SUBJECTS                     NaN
                                             1 Cyber Security and Forensics-1                     NaN
                                                          2 Web Programming-1                     NaN
                                                            3 Web Engineering                     NaN
                                         4 Distributed and Parallel Computing                     NaN
                                           5 Foundation of Advanced Computing                     NaN"
