page,content_type,content
1,text,SRKI
2,text,SRKI
3,text,SRKI
4,text,SRKI
5,text,SRKI
6,text,SRKI
7,text,SRKI
8,text,SRKI
9,text,SRKI
10,text,SRKI
11,text,SRKI
12,text,SRKI
13,text,SRKI
14,text,SRKI
15,text,SRKI
16,text,SRKI
17,text,SRKI
18,text,SRKI
19,text,SRKI
20,text,SRKI
21,text,SRKI
22,text,SRKI
23,text,SRKI
24,text,SRKI
25,text,SRKI
26,text,SRKI
27,text,SRKI
28,text,SRKI
29,text,SRKI
30,text,SRKI
1,table,"           Course Code                                                                Unnamed: 0
          Course Title                                                        Internet of Things
                Credit                                                                         4
     Teaching per Week                                                                     4 Hrs
     Minimum weeks per        15 (Including Class work, examination, preparation, holidays etc.)
              Semester                                                                       NaN
Last Review / Revision                                                                         -
     Purpose of Course   The purpose of this course is to impart knowledge on Internet of Things
                   NaN                                                                    (IoT),
                   NaN  which relates to the study of sensors, actuators, and controllers, among
                   NaN            other Things, IoT applications and examples overview (building
                   NaN                                                               automation,
                   NaN                               transportation, healthcare, industry, etc.)
      Course Objective This course is an introduction for students to IoT. The course also gives
                   NaN         students an idea about various components of IoT and explains the
                   NaN    working of them. The course also explains the role of embedded systems
                   NaN                                                         in IoT ecosystem.
          Pr-requisite         Fundamental knowledge of Computer Organization, Computer Networks
                   NaN                                                                       and
                   NaN                                     Internet, Basic programming knowledge
       Course Out come  Course Out come After having completed the course the student will gain:
                   NaN                    1. Understanding about the architectural detail of IoT
                   NaN                         2. Exposure to working with Arduino & Raspbery pi
                   NaN                    3. Knowledge about domain specific applications of IoT
        Course Content                            Unit 1: Introduction to The Internet of Things
                   NaN       1.1 The Internet of Things overview - History of IoT, Components of
                   NaN                  IoT, Characteristics of IoT, About Objects/things in IoT
                   NaN                                          1.2 Enabling Technologies of IoT
                   NaN                                                     1.2.1 Cloud Computing
                   NaN                                                  1.2.2 Big Data Analytics
                   NaN                                            1.2.3 Wireless Sensor Networks
                   NaN                                       1.3 Near Field Communication & RFID
                   NaN                                                   Unit2: IoT Architecture
                   NaN                                                            2.1 M2M to IoT
                   NaN                            2.1.1. Introduction of M2M - Components of M2M
                   NaN                                     2.1.2. Difference between IoT and M2M
                   NaN      2.2 IoT Reference Model or physical design and logical design of IoT
                   NaN                                            2.3 IoT Reference Architecture
                   NaN                                             Unit 3: IoT Application Areas
                   NaN                                                 3.1 IoT Application Areas"
