section,subsection,content
Course Title,,Thepurposeofthecourseistomakestudentscapableof
Objectives,,Theobjectiveofthesecourseistoenablestudentstolearnpractical
Unit,Unit 5,KnowledgebasedReasoning
Unit,Unit 6,IntelligentAgents
Unit,Unit 7,RealLifeApplicationAreasofAI
Unit,Unit 8,AdvancedAI
Unit,Unit 1,IntroductiontoDistributedsystems
Unit,Unit 2,ProblemSolvingBySearch
Unit,Unit 3,Planning
Unit,Unit 4,KnowledgeRepresentation
References,,"Bookss1.Cybersecurity,NinaGodbole,SunitBelapure,Wiley
2.ComputerForensics–ComputerCrimesceneinvestigationbyJohnRVacca,"
