url,text,source_page
https://www.srki.ac.in/upload/2023-24/syllabus/bt-ch-mb-sem1-merged.pdf,Unknown - SEMESTER-1,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2021-22/b.sc.%20chemistry%20sem.-ii_1.pdf,B.Sc. Chemistry - Unknown,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2021-22/b.sc.%20chemistry%20sem.-iii_1.pdf,B.Sc. Chemistry - Unknown,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2021-22/b.sc.%20chemistry-sem.-iv_1.pdf,B.Sc. Chemistry - Unknown,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2021-22/b.sc.%20chemistry-sem.-v_1.pdf,B.Sc. Chemistry - Unknown,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2021-22/b.sc.%20chemistry-sem.-vi_1.pdf,B.Sc. Chemistry - Unknown,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2024-25/NEP_BSc_CS_Sem1_Syllabus_CS_2024-25-1-16.pdf,B.Sc. Computer Science - SEMESTER-1,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2024-25/NEP_BSc_CS_Sem2_Syllabus_CS_2024-25-17-29.pdf,B.Sc. Computer Science - SEMESTER-2,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2024-25/NEP_Bsc_CS_Sem3_Syllabus_CS_2024-25.pdf,B.Sc. Computer Science - SEMESTER-3,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2024-25/NEP_Bsc_CS_Sem4_Syllabus_CS_2024-25.pdf,B.Sc. Computer Science - SEMESTER-4,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2021-22/bsc_cs_sem-5.pdf,B.Sc. Computer Science - SEMESTER-5,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2021-22/bsc_cs_sem-6.pdf,B.Sc. Computer Science - SEMESTER-6,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2024-25/NEP_BSc_IT_Sem1_Syllabus_IT_2024-25.pdf,B.Sc. Information Technology - SEMESTER-1,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2024-25/NEP_BSc_IT_Sem2_Syllabus_IT_2024-25.pdf,B.Sc. Information Technology - SEMESTER-2,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2024-25/NEP_Bsc_IT_Sem3_Syllabus_IT_2024-25.pdf,B.Sc. Information Technology - SEMESTER-3,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2024-25/NEP_Bsc_IT_Sem4_Syllabus_IT_2024-25.pdf,B.Sc. Information Technology - SEMESTER-4,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2021-22/bsc_it_sem-5.pdf,B.Sc. Information Technology - SEMESTER-5,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2021-22/bsc_it_sem-6.pdf,B.Sc. Information Technology - SEMESTER-6,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2023-24/syllabus/bt-ch-mb-sem1-merged.pdf,Unknown - SEMESTER-1,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2023-24/syllabus/bt-ch-mb-sem1-merged.pdf,Unknown - SEMESTER-1,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2021-22/b.sc.%20mb%20sem%202.pdf,B.Sc. Microbiology - Unknown,https://www.srki.ac.in/pages/su-syllabus/
https://www.srki.ac.in/upload/2021-22/b.sc.%20mb%20sem%203.pdf,B.Sc. Microbiology - Unknown,https://www.srki.ac.in/pages/su-syllabus/
